Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
Average of Moving Average,Column Labels,,,,,,,,,,,,,
Row Labels,A,A LOW,B,B+,C,C+,D,E,MPV,Premium Car 3,Premium Cars 1,SUV,(blank),Grand Total
<01-04-2012,,,,,,,,,,,,,,
2012,1554.407407,1188.222222,1853.997725,941.034188,1180.238333,570.5249221,161.0566038,194.4691358,731.1317204,47.93495935,1.722222222,323.0882838,,782.4434043
2013,903.6296296,960.9097222,1829.79697,1115.481871,1146.881629,552.0930931,130.8193548,41.06912442,685.0938468,96.43888889,46.22222222,456.6554054,,819.5042913
2014,1727.444444,1051.583333,2351.693498,1967.909744,1546.993917,1051.722678,336.1255144,747.5501618,1443.116531,385.4166667,331.1282051,1056.47818,,1420.66281
2015,5033.138889,1054.014493,2513.929524,2255.943925,1494.52218,1185.587106,439.7729885,446.1501832,1433.639167,399.7314815,346.5897436,969.0888889,,1527.229503
2016,3656.333333,903.0277778,2985.001032,2258.669634,1570.136422,1134.673387,314.1886792,364.4852321,1626.72712,302.0430108,83.11111111,1227.994697,,1644.084184
2017,,1215.083333,3433.105611,2226.342508,1913.650224,1403.65,240.9243986,119.6,1561.196028,143.3645833,,1350.791667,,1765.259328
2018,,2216.412698,3595.978697,2556.212928,3043.964912,1385.980392,239.8062016,130.6717949,1513.614837,263.9117647,,1788.410853,,2040.739154
2019,,2998.785714,2705.732493,2402.056047,3232.538288,1585.107639,304.7264957,76.14102564,1552.651568,323.344086,,1600.232407,,1888.692907
Grand Total,1878.43254,1302.674797,2567.635299,1850.805392,1753.202724,1071.956726,244.7878516,247.6618005,1222.187256,229.1184939,153.5147059,1056.110878,,1397.616011
